,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
46,1.0,59,20341,7.0,3.0,4.0,5.0,2
47,1.0,86,12210,5.0,6.0,4.0,1.0,2
48,2.0,95,4600,6.0,2.0,7.0,4.0,1
49,1.0,8,2258,4.0,1.0,7.0,4.0,1
50,2.0,56,4842,9.0,1.0,4.0,3.0,1
51,1.0,29,18842,9.0,4.0,3.0,4.0,2
52,1.0,28,3443,5.0,2.0,4.0,7.0,1
53,1.0,95,9264,12.0,2.0,5.0,1.0,2
54,1.0,34,3974,6.0,5.0,5.0,2.0,1
55,2.0,58,4268,0.0,4.0,7.0,2.0,1
56,1.0,81,8038,0.0,3.0,3.0,3.0,2
57,2.0,92,9536,1.0,6.0,7.0,3.0,2
58,2.0,16,21000,1.0,2.0,3.0,4.0,2
59,1.0,72,10037,11.0,6.0,4.0,4.0,2
60,1.0,59,7148,10.0,2.0,3.0,3.0,2
61,2.0,7,24539,3.0,4.0,4.0,1.0,2
62,1.0,12,2200,0.0,0.0,7.0,7.0,0
63,2.0,32,2003,0.0,4.0,7.0,4.0,0
64,1.0,84,14372,6.0,3.0,7.0,4.0,2
65,2.0,75,2542,2.0,1.0,7.0,3.0,1
66,2.0,93,13437,3.0,6.0,4.0,2.0,2
67,2.0,40,25746,11.0,2.0,3.0,5.0,2
68,2.0,0,2731,2.0,0.0,5.0,1.0,1
69,2.0,84,11794,4.0,0.0,5.0,7.0,2
70,1.0,92,16589,11.0,2.0,7.0,4.0,2
71,1.0,77,14585,0.0,4.0,7.0,1.0,2
72,2.0,37,14064,12.0,2.0,5.0,2.0,2
73,2.0,47,13635,5.0,6.0,4.0,2.0,2
74,2.0,61,471,3.0,1.0,4.0,4.0,0
75,1.0,50,3114,1.0,6.0,3.0,5.0,1
76,1.0,68,21508,4.0,1.0,3.0,4.0,2
77,2.0,76,3249,9.0,1.0,7.0,6.0,1
78,1.0,57,3669,4.0,5.0,7.0,2.0,1
79,2.0,4,7365,12.0,3.0,5.0,1.0,2
80,2.0,36,9902,1.0,6.0,3.0,2.0,2
81,1.0,80,17515,9.0,1.0,7.0,3.0,2
82,2.0,82,3137,2.0,6.0,5.0,4.0,1
83,1.0,37,23358,9.0,4.0,4.0,1.0,2
84,1.0,94,21342,11.0,3.0,3.0,2.0,2
85,1.0,35,21290,6.0,3.0,7.0,6.0,2
86,1.0,48,11011,4.0,4.0,3.0,4.0,2
87,1.0,0,3176,10.0,4.0,3.0,3.0,1
88,1.0,49,21113,5.0,6.0,5.0,6.0,2
89,2.0,57,26024,9.0,0.0,7.0,6.0,2
90,1.0,9,4812,10.0,5.0,3.0,2.0,1
91,1.0,50,6380,6.0,6.0,3.0,3.0,2
92,2.0,97,26963,6.0,6.0,7.0,2.0,2
93,2.0,48,1990,2.0,1.0,3.0,2.0,0
94,1.0,12,1955,6.0,0.0,5.0,5.0,0
95,2.0,70,12363,12.0,6.0,3.0,5.0,2
96,2.0,36,9602,7.0,3.0,7.0,3.0,2
97,1.0,99,13941,12.0,2.0,5.0,4.0,2
98,1.0,36,23493,10.0,5.0,3.0,7.0,2
99,2.0,30,9556,9.0,4.0,7.0,4.0,2
100,1.0,19,14854,9.0,3.0,7.0,6.0,2
101,2.0,38,4161,10.0,4.0,7.0,7.0,1
102,2.0,44,3823,8.0,1.0,3.0,6.0,1
103,1.0,35,17072,7.0,0.0,5.0,6.0,2
104,2.0,14,4123,2.0,6.0,3.0,2.0,1
105,2.0,29,6012,6.0,1.0,7.0,2.0,2
106,2.0,51,21823,1.0,4.0,4.0,3.0,2
107,1.0,60,20999,5.0,6.0,5.0,1.0,2
108,1.0,81,9866,2.0,2.0,4.0,5.0,2
109,2.0,67,15434,9.0,2.0,4.0,5.0,2
110,1.0,29,20493,4.0,0.0,5.0,5.0,2
111,2.0,27,19760,7.0,6.0,5.0,5.0,2
112,2.0,3,17570,7.0,1.0,3.0,7.0,2
113,2.0,33,8960,10.0,4.0,4.0,5.0,2
114,2.0,51,10567,1.0,5.0,3.0,3.0,2
115,2.0,27,22670,9.0,1.0,3.0,4.0,2
116,1.0,100,7705,6.0,3.0,3.0,6.0,2
117,2.0,56,26907,5.0,3.0,5.0,4.0,2
118,1.0,21,26795,12.0,3.0,4.0,7.0,2
119,2.0,39,27068,3.0,4.0,7.0,3.0,2
120,1.0,74,4637,8.0,3.0,5.0,6.0,1
121,1.0,29,11158,5.0,0.0,5.0,7.0,2
122,1.0,29,15026,11.0,3.0,4.0,1.0,2
123,1.0,61,1864,4.0,6.0,4.0,3.0,0
124,1.0,58,5665,4.0,6.0,4.0,6.0,1
125,2.0,24,20634,8.0,6.0,4.0,2.0,2
126,1.0,16,25482,11.0,4.0,4.0,5.0,2
127,1.0,64,793,11.0,3.0,7.0,2.0,0
128,1.0,100,6770,4.0,1.0,3.0,6.0,2
129,1.0,98,25289,0.0,3.0,3.0,7.0,2
130,2.0,13,16926,4.0,0.0,5.0,7.0,2
131,1.0,1,22013,3.0,6.0,3.0,1.0,2
132,1.0,2,14001,6.0,2.0,3.0,6.0,2
133,2.0,66,9196,1.0,3.0,3.0,3.0,2
134,2.0,19,7337,1.0,6.0,7.0,3.0,2
135,1.0,76,3864,7.0,3.0,7.0,5.0,1
136,2.0,30,6481,9.0,2.0,3.0,2.0,2
137,2.0,39,10166,5.0,4.0,4.0,7.0,2
138,2.0,85,23109,0.0,0.0,3.0,5.0,2
139,2.0,77,12112,7.0,5.0,4.0,5.0,2
140,1.0,49,18118,0.0,0.0,5.0,3.0,2
141,1.0,26,8805,6.0,0.0,4.0,1.0,2
142,2.0,12,15567,8.0,5.0,7.0,5.0,2
143,2.0,64,11248,5.0,3.0,5.0,4.0,2
144,1.0,1,19599,2.0,1.0,7.0,5.0,2
145,2.0,36,10891,3.0,3.0,7.0,2.0,2
146,1.0,10,11857,7.0,2.0,7.0,2.0,2
147,1.0,32,24882,12.0,0.0,3.0,5.0,2
148,1.0,28,22309,7.0,3.0,7.0,1.0,2
149,1.0,58,2949,12.0,5.0,7.0,7.0,1
150,2.0,66,5048,1.0,3.0,7.0,6.0,1
151,2.0,92,2975,11.0,3.0,3.0,5.0,1
152,2.0,65,17220,0.0,6.0,3.0,5.0,2
153,1.0,77,13510,6.0,3.0,7.0,2.0,2
154,2.0,83,26169,3.0,0.0,7.0,2.0,2
155,1.0,47,19832,7.0,6.0,5.0,6.0,2
156,1.0,81,840,0.0,4.0,7.0,7.0,0
157,1.0,36,18295,1.0,1.0,4.0,1.0,2
158,2.0,71,16297,9.0,3.0,3.0,1.0,2
159,1.0,53,19617,8.0,0.0,5.0,1.0,2
160,2.0,70,1844,6.0,6.0,4.0,7.0,0
161,2.0,9,1938,11.0,2.0,7.0,1.0,0
162,1.0,15,25235,1.0,2.0,5.0,4.0,2
163,2.0,18,26224,8.0,6.0,5.0,3.0,2
164,1.0,29,8707,9.0,0.0,3.0,7.0,2
165,1.0,53,590,8.0,2.0,4.0,7.0,0
166,2.0,60,657,7.0,2.0,5.0,2.0,0
167,2.0,42,7942,9.0,3.0,3.0,4.0,2
168,1.0,82,21338,1.0,5.0,4.0,6.0,2
169,2.0,2,25318,7.0,5.0,3.0,1.0,2
170,1.0,29,3036,10.0,3.0,3.0,7.0,1
171,2.0,17,5787,3.0,3.0,5.0,2.0,1
172,1.0,35,13918,0.0,5.0,3.0,7.0,2
173,2.0,19,7696,9.0,3.0,5.0,5.0,2
174,1.0,16,27043,7.0,3.0,7.0,3.0,2
175,2.0,23,3318,10.0,5.0,7.0,6.0,1
176,1.0,12,24996,11.0,6.0,7.0,5.0,2
177,2.0,99,5727,7.0,4.0,7.0,3.0,1
178,2.0,56,4132,3.0,3.0,4.0,6.0,1
179,2.0,66,9763,8.0,5.0,5.0,1.0,2
180,1.0,20,4758,1.0,2.0,5.0,3.0,1
181,2.0,3,18291,12.0,3.0,7.0,2.0,2
182,1.0,81,27160,0.0,3.0,3.0,6.0,2
183,2.0,44,10109,3.0,6.0,5.0,2.0,2
184,1.0,38,4839,9.0,4.0,7.0,7.0,1
185,2.0,42,24466,0.0,3.0,3.0,6.0,2
186,2.0,74,2480,10.0,0.0,7.0,1.0,1
187,2.0,37,14434,8.0,4.0,5.0,4.0,2
188,2.0,40,8256,0.0,0.0,7.0,1.0,2
189,2.0,27,20261,6.0,5.0,3.0,1.0,2
190,1.0,4,2428,9.0,5.0,4.0,2.0,1
191,2.0,51,10720,7.0,2.0,7.0,5.0,2
192,2.0,22,12992,4.0,1.0,7.0,4.0,2
193,1.0,37,10317,9.0,6.0,4.0,1.0,2
194,2.0,35,26833,9.0,5.0,3.0,3.0,2
195,2.0,30,18010,6.0,2.0,7.0,1.0,2
196,2.0,7,20203,4.0,3.0,7.0,3.0,2
197,1.0,88,7177,6.0,3.0,3.0,4.0,2
198,2.0,88,22452,2.0,0.0,7.0,6.0,2
199,2.0,15,2178,8.0,5.0,3.0,5.0,0
200,1.0,10,1365,1.0,1.0,4.0,1.0,0
201,2.0,19,14039,6.0,2.0,3.0,7.0,2
202,1.0,77,19174,6.0,6.0,7.0,5.0,2
203,2.0,56,8195,0.0,2.0,3.0,5.0,2
204,2.0,18,11546,5.0,0.0,7.0,6.0,2
205,1.0,71,6357,10.0,1.0,5.0,1.0,2
206,1.0,60,19704,2.0,4.0,4.0,3.0,2
207,2.0,24,17270,1.0,6.0,4.0,6.0,2
208,2.0,32,21759,4.0,6.0,3.0,6.0,2
209,2.0,39,23009,11.0,3.0,4.0,7.0,2
210,1.0,100,13055,6.0,6.0,7.0,3.0,2
211,1.0,16,6945,6.0,6.0,4.0,2.0,2
212,2.0,52,15018,3.0,0.0,4.0,2.0,2
213,2.0,90,8913,0.0,3.0,7.0,1.0,2
214,2.0,80,2410,3.0,6.0,5.0,3.0,1
215,2.0,46,1264,9.0,1.0,3.0,7.0,0
216,2.0,96,10568,12.0,6.0,4.0,5.0,2
217,1.0,94,18884,0.0,5.0,4.0,2.0,2
218,2.0,84,1639,2.0,0.0,4.0,3.0,0
219,1.0,23,15185,5.0,6.0,4.0,4.0,2
220,2.0,15,9099,7.0,6.0,7.0,4.0,2
221,2.0,44,18064,6.0,4.0,4.0,4.0,2
222,2.0,83,7067,12.0,4.0,7.0,5.0,2
223,1.0,55,4926,0.0,2.0,3.0,4.0,1
224,1.0,98,2695,10.0,1.0,7.0,2.0,1
225,1.0,27,12592,11.0,4.0,3.0,7.0,2
226,2.0,45,1368,5.0,2.0,5.0,3.0,0
227,2.0,98,18856,9.0,1.0,4.0,7.0,2
228,1.0,81,14578,1.0,2.0,4.0,3.0,2
229,1.0,87,15968,6.0,4.0,4.0,2.0,2
230,1.0,27,16056,2.0,4.0,5.0,7.0,2
231,1.0,77,6955,3.0,0.0,4.0,7.0,2
232,2.0,48,24607,1.0,3.0,3.0,6.0,2
233,2.0,87,5871,9.0,1.0,7.0,1.0,1
234,2.0,94,27181,7.0,2.0,4.0,5.0,2
235,1.0,5,6026,6.0,6.0,5.0,7.0,2
236,1.0,97,12407,0.0,4.0,4.0,5.0,2
237,2.0,98,11931,0.0,1.0,5.0,5.0,2
238,1.0,28,5857,10.0,6.0,4.0,2.0,1
239,2.0,65,15033,9.0,4.0,5.0,2.0,2
240,2.0,68,19532,10.0,5.0,4.0,1.0,2
241,1.0,85,23455,0.0,6.0,4.0,6.0,2
242,2.0,72,7124,10.0,0.0,3.0,7.0,2
243,1.0,33,20373,6.0,4.0,5.0,7.0,2
244,1.0,99,13758,5.0,4.0,3.0,2.0,2
245,1.0,48,17618,7.0,2.0,4.0,1.0,2
246,1.0,99,4092,11.0,6.0,5.0,4.0,1
247,2.0,89,1599,11.0,1.0,3.0,1.0,0
248,2.0,69,19277,2.0,3.0,4.0,5.0,2
249,2.0,65,1859,1.0,2.0,3.0,6.0,0
250,1.0,99,2106,5.0,4.0,7.0,5.0,0
251,1.0,71,17760,0.0,1.0,5.0,7.0,2
252,1.0,1,7858,8.0,5.0,5.0,4.0,2
253,2.0,1,24398,11.0,2.0,4.0,7.0,2
254,1.0,71,14302,12.0,6.0,3.0,3.0,2
255,1.0,25,13892,10.0,1.0,3.0,4.0,2
256,1.0,100,12271,0.0,0.0,3.0,6.0,2
257,1.0,77,22098,3.0,1.0,7.0,6.0,2
258,2.0,50,1328,9.0,1.0,5.0,5.0,0
259,2.0,27,4399,2.0,3.0,7.0,5.0,1
260,1.0,96,14382,2.0,3.0,3.0,4.0,2
261,1.0,43,11133,10.0,2.0,5.0,7.0,2
262,2.0,19,5154,7.0,2.0,4.0,4.0,1
263,2.0,98,12729,11.0,5.0,7.0,3.0,2
264,2.0,45,11821,5.0,0.0,3.0,1.0,2
265,1.0,100,11934,3.0,4.0,7.0,4.0,2
266,1.0,80,20501,1.0,3.0,3.0,1.0,2
267,2.0,43,20802,9.0,2.0,3.0,4.0,2
268,1.0,67,12728,7.0,3.0,3.0,2.0,2
269,1.0,8,18954,11.0,3.0,5.0,1.0,2
270,1.0,83,20471,1.0,3.0,7.0,3.0,2
271,1.0,46,14408,10.0,2.0,3.0,7.0,2
272,1.0,64,25196,1.0,0.0,3.0,3.0,2
273,2.0,20,1198,11.0,2.0,4.0,4.0,0
274,2.0,96,13024,6.0,5.0,7.0,5.0,2
275,2.0,98,19337,7.0,1.0,7.0,6.0,2
276,1.0,5,14884,7.0,6.0,4.0,7.0,2
277,2.0,85,18738,9.0,0.0,3.0,2.0,2
278,1.0,24,4689,2.0,6.0,7.0,7.0,1
279,2.0,2,25651,3.0,1.0,7.0,2.0,2
280,1.0,71,6111,2.0,4.0,4.0,3.0,2
281,1.0,75,15690,8.0,5.0,4.0,5.0,2
282,2.0,28,19045,4.0,5.0,7.0,4.0,2
283,2.0,95,11085,9.0,3.0,4.0,5.0,2
284,2.0,65,1346,0.0,1.0,7.0,3.0,0
285,1.0,80,18136,0.0,3.0,3.0,7.0,2
286,2.0,82,3520,10.0,6.0,3.0,4.0,1
287,2.0,14,23955,4.0,6.0,5.0,3.0,2
288,1.0,21,368,7.0,1.0,5.0,6.0,0
289,1.0,69,3727,1.0,0.0,3.0,6.0,1
290,1.0,33,16691,6.0,6.0,7.0,6.0,2
291,1.0,2,12600,3.0,2.0,7.0,2.0,2
292,2.0,27,4889,6.0,5.0,7.0,1.0,1
293,1.0,19,23180,6.0,3.0,4.0,7.0,2
294,2.0,15,9062,2.0,5.0,7.0,7.0,2
295,2.0,71,21443,2.0,1.0,3.0,5.0,2
296,2.0,29,9112,6.0,1.0,4.0,2.0,2
297,2.0,35,1471,0.0,6.0,3.0,2.0,0
298,1.0,97,12597,5.0,4.0,4.0,5.0,2
299,1.0,48,428,9.0,2.0,7.0,6.0,0
300,1.0,49,674,6.0,4.0,5.0,3.0,0
301,2.0,80,10270,6.0,1.0,3.0,6.0,2
302,1.0,56,13988,3.0,5.0,7.0,2.0,2
303,2.0,63,25246,2.0,2.0,5.0,4.0,2
304,2.0,88,19176,1.0,3.0,4.0,4.0,2
305,1.0,58,8210,1.0,4.0,5.0,6.0,2
306,1.0,5,11848,6.0,4.0,7.0,3.0,2
307,1.0,51,13354,0.0,5.0,5.0,5.0,2
308,1.0,61,9749,1.0,1.0,5.0,6.0,2
309,1.0,83,22056,6.0,6.0,7.0,3.0,2
310,1.0,17,17470,11.0,2.0,5.0,3.0,2
311,2.0,45,3008,0.0,5.0,7.0,4.0,1
312,2.0,96,4596,11.0,1.0,3.0,5.0,1
313,1.0,62,1309,7.0,2.0,7.0,3.0,0
314,1.0,22,2025,6.0,2.0,5.0,6.0,0
315,1.0,97,9804,4.0,3.0,5.0,1.0,2
316,1.0,9,4313,7.0,1.0,5.0,1.0,1
317,1.0,5,6766,10.0,6.0,5.0,3.0,2
318,1.0,76,5942,11.0,1.0,5.0,2.0,2
319,1.0,61,25579,8.0,1.0,3.0,6.0,2
320,1.0,42,3939,4.0,0.0,7.0,2.0,1
321,1.0,16,6774,1.0,5.0,3.0,3.0,2
322,1.0,59,14958,3.0,6.0,5.0,4.0,2
323,2.0,17,20736,8.0,6.0,7.0,5.0,2
324,2.0,68,26605,11.0,4.0,3.0,3.0,2
325,2.0,60,9251,3.0,4.0,5.0,2.0,2
326,2.0,25,15262,3.0,3.0,5.0,3.0,2
327,1.0,14,26053,4.0,3.0,5.0,2.0,2
328,1.0,61,12709,7.0,6.0,5.0,4.0,2
329,1.0,53,15961,9.0,2.0,4.0,3.0,2
330,2.0,81,14242,2.0,2.0,4.0,7.0,2
331,1.0,29,4761,7.0,1.0,5.0,7.0,1
332,1.0,70,11516,3.0,4.0,4.0,6.0,2
333,1.0,28,16718,7.0,3.0,4.0,3.0,2
334,1.0,74,18067,0.0,6.0,7.0,6.0,2
335,1.0,5,14454,11.0,0.0,4.0,2.0,2
336,1.0,100,13372,5.0,1.0,7.0,3.0,2
337,1.0,100,22574,2.0,5.0,5.0,4.0,2
338,2.0,84,25007,5.0,1.0,3.0,5.0,2
339,2.0,55,16995,9.0,4.0,5.0,5.0,2
340,2.0,50,798,7.0,2.0,5.0,6.0,0
341,2.0,86,775,0.0,1.0,4.0,7.0,0
342,1.0,53,7950,11.0,4.0,5.0,1.0,2
343,1.0,10,13422,0.0,5.0,7.0,1.0,2
344,2.0,43,23194,5.0,1.0,4.0,2.0,2
345,1.0,59,10447,12.0,5.0,4.0,3.0,2
346,2.0,30,22373,11.0,4.0,7.0,5.0,2
347,2.0,59,3277,4.0,4.0,4.0,6.0,1
348,1.0,14,19648,10.0,4.0,3.0,3.0,2
349,2.0,48,5717,3.0,2.0,4.0,4.0,1
350,1.0,56,9731,1.0,6.0,7.0,6.0,2
351,2.0,65,26627,8.0,4.0,5.0,7.0,2
352,1.0,7,23946,11.0,3.0,3.0,3.0,2
353,2.0,69,20805,4.0,1.0,4.0,3.0,2
354,2.0,15,26394,11.0,2.0,7.0,2.0,2
355,2.0,52,18647,3.0,0.0,4.0,2.0,2
356,2.0,32,871,11.0,0.0,7.0,5.0,0
357,1.0,87,3342,11.0,6.0,4.0,5.0,1
358,1.0,78,17963,1.0,5.0,5.0,2.0,2
359,1.0,34,8287,3.0,5.0,3.0,1.0,2
360,2.0,29,11386,1.0,3.0,7.0,6.0,2
361,1.0,51,7343,5.0,1.0,5.0,1.0,2
362,2.0,89,2812,3.0,2.0,7.0,7.0,1
363,1.0,53,18015,12.0,3.0,4.0,1.0,2
364,2.0,4,15704,1.0,0.0,4.0,5.0,2
365,2.0,64,8501,12.0,2.0,3.0,3.0,2
366,2.0,26,10484,4.0,1.0,4.0,1.0,2
367,2.0,84,6607,5.0,0.0,4.0,6.0,2
368,1.0,5,18377,4.0,2.0,7.0,6.0,2
369,1.0,88,12846,8.0,5.0,7.0,7.0,2
370,1.0,17,27234,5.0,3.0,4.0,5.0,2
371,2.0,68,26631,9.0,0.0,5.0,5.0,2
372,1.0,56,3738,9.0,5.0,4.0,1.0,1
373,2.0,32,7004,5.0,1.0,3.0,2.0,2
374,2.0,81,5041,10.0,3.0,5.0,7.0,1
375,1.0,72,3198,8.0,2.0,7.0,3.0,1
376,1.0,73,10974,10.0,3.0,7.0,6.0,2
377,1.0,100,9162,7.0,6.0,4.0,7.0,2
378,2.0,31,1281,3.0,6.0,4.0,4.0,0
379,1.0,94,25996,6.0,1.0,3.0,7.0,2
380,1.0,73,2162,4.0,1.0,4.0,6.0,0
381,2.0,48,23222,9.0,3.0,3.0,3.0,2
382,1.0,99,15169,8.0,2.0,7.0,2.0,2
383,2.0,32,19398,5.0,6.0,4.0,4.0,2
384,1.0,14,11886,1.0,1.0,3.0,4.0,2
385,1.0,61,15169,2.0,3.0,4.0,1.0,2
386,2.0,87,667,3.0,2.0,5.0,4.0,0
387,2.0,32,23526,1.0,1.0,7.0,2.0,2
388,1.0,56,22270,9.0,4.0,4.0,6.0,2
389,1.0,28,4810,4.0,0.0,5.0,1.0,1
390,2.0,43,2872,8.0,6.0,5.0,1.0,1
391,1.0,97,17786,7.0,1.0,3.0,7.0,2
392,1.0,50,11839,5.0,2.0,4.0,1.0,2
393,1.0,46,6675,10.0,2.0,3.0,1.0,2
394,1.0,72,4676,3.0,5.0,7.0,5.0,1
395,1.0,37,21555,5.0,3.0,5.0,1.0,2
396,1.0,2,20962,1.0,3.0,7.0,6.0,2
397,2.0,17,5125,11.0,6.0,5.0,6.0,1
398,2.0,15,11547,6.0,6.0,5.0,1.0,2
399,1.0,67,6849,4.0,2.0,7.0,6.0,2
400,2.0,85,11670,9.0,3.0,3.0,5.0,2
401,1.0,93,24118,8.0,2.0,3.0,2.0,2
402,2.0,22,21907,2.0,2.0,5.0,1.0,2
403,2.0,82,27255,3.0,1.0,3.0,6.0,2
404,1.0,7,15936,10.0,0.0,4.0,5.0,2
405,1.0,55,21810,8.0,6.0,3.0,4.0,2
406,1.0,49,24053,9.0,6.0,4.0,7.0,2
407,1.0,26,22538,4.0,3.0,5.0,2.0,2
408,1.0,4,22408,5.0,3.0,3.0,6.0,2
409,2.0,89,11867,5.0,1.0,4.0,5.0,2
410,1.0,26,4961,11.0,3.0,3.0,2.0,1
411,1.0,60,15418,12.0,4.0,7.0,4.0,2
412,1.0,83,4487,0.0,2.0,7.0,3.0,1
413,2.0,78,26577,11.0,1.0,3.0,7.0,2
414,2.0,18,4508,1.0,2.0,3.0,1.0,1
415,1.0,96,3838,10.0,5.0,3.0,2.0,1
416,1.0,91,20756,5.0,1.0,4.0,3.0,2
417,2.0,36,12118,9.0,4.0,4.0,7.0,2
418,1.0,20,15398,0.0,5.0,4.0,6.0,2
419,1.0,3,10873,8.0,1.0,7.0,1.0,2
420,1.0,18,20352,9.0,3.0,3.0,2.0,2
421,2.0,77,2803,11.0,5.0,5.0,5.0,1
422,2.0,51,24955,7.0,0.0,4.0,7.0,2
423,2.0,49,4493,3.0,6.0,3.0,2.0,1
424,1.0,31,10903,6.0,0.0,4.0,6.0,2
425,2.0,97,22076,4.0,3.0,3.0,4.0,2
426,2.0,18,19743,11.0,1.0,7.0,6.0,2
427,2.0,12,10632,2.0,3.0,3.0,1.0,2
428,2.0,91,10636,6.0,3.0,5.0,3.0,2
429,2.0,98,24454,1.0,3.0,7.0,1.0,2
430,2.0,71,6362,4.0,6.0,4.0,7.0,2
431,1.0,94,7509,11.0,3.0,7.0,5.0,2
432,1.0,45,23798,2.0,6.0,5.0,3.0,2
433,1.0,80,8143,7.0,1.0,7.0,4.0,2
434,2.0,65,23293,6.0,4.0,7.0,6.0,2
435,2.0,88,22799,4.0,6.0,3.0,7.0,2
436,1.0,16,11194,4.0,3.0,5.0,2.0,2
437,1.0,45,15081,11.0,6.0,3.0,4.0,2
438,1.0,91,18426,4.0,0.0,4.0,5.0,2
439,2.0,37,2187,10.0,5.0,7.0,3.0,0
440,1.0,50,25883,9.0,1.0,7.0,7.0,2
441,2.0,24,9064,5.0,3.0,5.0,4.0,2
442,1.0,48,7982,8.0,0.0,4.0,5.0,2
443,2.0,76,15179,4.0,0.0,5.0,6.0,2
444,1.0,4,12251,11.0,5.0,3.0,5.0,2
445,1.0,51,22878,5.0,5.0,3.0,3.0,2
446,1.0,46,23166,0.0,6.0,4.0,4.0,2
447,2.0,40,21246,2.0,5.0,4.0,5.0,2
448,1.0,14,23037,5.0,3.0,7.0,7.0,2
449,2.0,10,18153,12.0,2.0,3.0,3.0,2
450,2.0,27,13370,11.0,5.0,4.0,7.0,2
451,1.0,78,9283,7.0,0.0,4.0,5.0,2
452,2.0,13,17281,6.0,0.0,7.0,5.0,2
453,1.0,4,14442,6.0,0.0,7.0,3.0,2
454,2.0,86,21156,8.0,5.0,4.0,3.0,2
455,2.0,15,6299,11.0,6.0,3.0,6.0,2
456,1.0,29,25084,12.0,3.0,4.0,5.0,2
457,2.0,78,10435,3.0,2.0,3.0,1.0,2
458,2.0,42,2736,8.0,4.0,4.0,1.0,1
459,2.0,25,21835,12.0,1.0,3.0,2.0,2
460,2.0,75,22364,2.0,4.0,5.0,5.0,2
461,2.0,95,3861,6.0,4.0,7.0,7.0,1
462,2.0,91,18281,11.0,3.0,4.0,1.0,2
463,2.0,22,20582,3.0,3.0,4.0,6.0,2
464,2.0,43,11935,10.0,5.0,7.0,7.0,2
465,2.0,84,9534,10.0,1.0,3.0,5.0,2
466,1.0,55,21886,5.0,6.0,4.0,7.0,2
467,2.0,2,16151,12.0,3.0,4.0,4.0,2
468,1.0,25,7722,3.0,3.0,4.0,3.0,2
469,1.0,0,5727,4.0,5.0,3.0,7.0,1
470,2.0,95,17702,9.0,1.0,4.0,7.0,2
471,1.0,56,7448,11.0,0.0,5.0,5.0,2
472,1.0,70,22761,0.0,2.0,4.0,1.0,2
473,1.0,82,14335,3.0,6.0,4.0,6.0,2
474,2.0,86,21511,0.0,1.0,7.0,1.0,2
475,2.0,62,1723,8.0,1.0,3.0,7.0,0
476,1.0,46,7758,4.0,5.0,5.0,4.0,2
477,1.0,89,20986,6.0,2.0,7.0,5.0,2
478,1.0,77,6604,4.0,0.0,3.0,6.0,2
479,1.0,12,2512,0.0,4.0,3.0,7.0,1
